,rank,title,year,genre,rating_score,rating_count,box gross,review_word_1,review_word_2,review_word_3,review_word_4,review_word_5
0,1,The Shawshank Redemption,1994,Drama,9.3,2297303,28699976.0,shawshank,andy,prison,life,redemption
1,2,The Godfather,1972,"Crime, Drama",9.2,1585716,134966411.0,godfather,ever,seen,vito,first
2,3,The Dark Knight,2008,"Action, Crime, Drama",9.0,2261605,535234033.0,dark,helpful,confidently,directed,brooding
3,4,The Godfather: Part II,1974,"Crime, Drama",9.0,1107765,47834595.0,michael,coppola,first,pacino,family
4,5,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",8.9,1615048,377845905.0,rings,still,back,best,helpful
5,6,Pulp Fiction,1994,"Crime, Drama",8.9,1793781,107928762.0,anything,characters,power,pulp,fiction
6,7,Schindler's List,1993,"Biography, Drama, History",8.9,1192318,96898818.0,ever,points,helpful,seen,want
7,8,12 Angry Men,1957,"Crime, Drama",8.9,675100,,juror,case,jurors,jury,room
8,9,Inception,2010,"Action, Adventure",8.8,2023860,292576195.0,mission,dream,inception,cobb,nolan
9,10,Fight Club,1999,Drama,8.8,1821100,37030102.0,narrator,tyler,system,fight,club
10,11,The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",8.8,1630800,315544750.0,incredible,read,bombadil,book,well
11,12,Forrest Gump,1994,"Drama, Romance",8.8,1770211,330455270.0,like,life,meaning,first,appreciate
12,13,"The Good, the Bad and the Ugly",1966,Western,8.8,677423,25100000.0,good,ugly,western,leone,name
13,14,Hamilton,2020,"Biography, Drama, History",8.7,44462,,helpful,mean,pretty,high,still
14,15,The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",8.7,1459772,342551365.0,truly,ring,battle,peter,jackson
15,16,The Matrix,1999,Action,8.7,1644651,171479930.0,matrix,nobody,fishburne,simply,actor
16,17,Goodfellas,1990,"Biography, Crime, Drama",8.7,1000128,46836214.0,every,favorite,imdbcomlistls,together,makes
17,18,Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",8.7,1139770,292753960.0,empire,darth,vader,luke,irvin
18,19,One Flew Over the Cuckoo's Nest,1975,Drama,8.7,901866,108981275.0,best,mcmurphy,institution,patients,nicholson
19,20,Parasite,2019,"Comedy, Drama, Thriller",8.6,495716,53369749.0,kitaek,park,family,line,instead
