rank,title,year,genre,user_rating,rating_count,us_gross_box,review_word_1,review_word_2,review_word_3,review_word_4,review_word_5
1,The Shawshank Redemption,1994,drama,0.91,886475.0,$27.3M,time,story,best,ever,greatest
2,The Godfather,1972,"crime, drama",0.98,733925.0,$134.8M,godfather,time,never,cinematography,great
3,The Dark Knight,2008,"action, adventure, fantasy",0.94,1831566.0,$2.0M,best,batman,ledger,heath,joker
4,The Godfather: Part II,1974,"crime, drama",0.98,411452.0,,godfather,michael,part,first,sequel
5,The Lord of the Rings: The Return of the King,2003,"adventure, fantasy",0.93,34679773.0,$377.8M,epic,trilogy,story,final,characters
6,Pulp Fiction,1994,"crime, drama",0.92,1127798.0,,tarantino,best,pulp,fiction,great
7,Schindler's List,1993,"drama, history",0.97,411603.0,$96.6M,schindler,spielberg,ever,holocaust,list
8,12 Angry Men,1957,drama,1.0,105385.0,,time,juror,angry,jurors,jury
9,Inception,2010,"action, fi, mystery, sci, thriller",0.87,571067.0,$292.6M,plot,nolan,masterpiece,amazing,mind
10,Fight Club,1999,"drama, mystery, thriller",0.79,1093237.0,$37.0M,fight,club,pitt,great,best
11,The Lord of the Rings: The Fellowship of the Ring,2001,"adventure, fantasy",0.91,1355751.0,$315.5M,time,perfect,characters,peter,jackson
12,Forrest Gump,1994,"comedy, drama",0.71,1244237.0,$330.3M,best,hanks,life,forrest,gump
13,"The Good, the Bad and the Ugly",1966,western,0.97,239796.0,,score,time,amazing,western,eastwood
14,Hamilton,2020,musical,0.98,1624.0,,hamilton,musical,cast,live,story
15,The Lord of the Rings: The Two Towers,2002,"adventure, fantasy",0.95,1341428.0,$342.6M,love,scenes,trilogy,battle,like
16,The Matrix,1999,"action, sci",0.88,33324202.0,$171.4M,matrix,action,time,great,good
17,Goodfellas,1990,"crime, drama",0.96,429630.0,$42.6M,best,scorsese,goodfellas,gangster,pesci
18,Star Wars: Episode V - The Empire Strikes Back,1980,"action, adventure, fantasy, fi, sci",0.94,1057977.0,$291.9M,story,empire,strikes,back,best
19,One Flew Over the Cuckoo's Nest,1975,drama,0.94,279747.0,,love,jack,nicholson,time,story
20,Parasite,2019,"comedy, drama, mystery, thriller",0.99,7274.0,$53.4M,parasite,great,good,well,best
21,Vikram Vedha,2017,,,,,1,2,3,4,5
22,Interstellar,2014,"action, adventure, sci",0.72,175949.0,$188.0M,nolan,time,best,good,interstellar
23,City of God,2002,"crime, drama",0.91,252174.0,$7.6M,city,story,violence,best,characters
24,Spirited Away,2001,"adventure, animation, fantasy",0.97,336960.0,$10.0M,away,spirited,great,story,animation
25,Saving Private Ryan,1998,,0.93,993251.0,,best,time,realistic,greatest,ever
26,The Green Mile,1999,"drama, fantasy",0.78,813773.0,$136.8M,great,green,mile,hanks,coffey
27,Life Is Beautiful,1997,"comedy, drama",0.8,249410.0,$57.6M,benigni,guido,life,beautiful,holocaust
28,Se7en,1995,"and, crime, drama, mystery, thriller,",0.82,468471.0,$100.1M,mills,john,seen,somerset,final
29,The Silence of the Lambs,1991,"crime, drama, mystery, thriller",0.96,847013.0,$130.7M,hopkins,lecter,foster,lambs,silence
30,Star Wars: Episode IV - A New Hope,1977,"action, adventure, fantasy, sci",0.92,862671.0,$345,star,wars,time,great,good
31,Harakiri,1962,drama,1.0,5960.0,,samurai,harakiri,story,films,kobayashi
32,Seven Samurai,1954,action,1.0,91012.0,$271.7K,samurai,seven,kurosawa,films,time
33,It's a Wonderful Life,1946,"comedy, drama, other",0.94,218882.0,,christmas,life,great,classic,george
34,Joker,2019,"crime, drama",0.68,66303.0,$335.4M,phoenix,joker,joaquin,performance,good
35,Whiplash,2014,"drama, music",0.94,70203.0,$13.2M,whiplash,simmons,fletcher,like,great
36,The Intouchables,2011,"comedy, drama",0.75,45396.0,$13.2M,story,friendship,life,great,intouchables
37,The Prestige,2006,"drama, fantasy, mystery, thriller",0.76,551255.0,$53.1M,nolan,prestige,amazing,great,good
38,The Departed,2006,"crime, drama, mystery, thriller",0.91,737799.0,$132.4M,scorsese,great,best,films,martin
